,Year,Sampling_Unit_Name,Longitude,Latitude,Cabassous tatouay,Canis familiaris,Cerdocyon thous,Cuniculus paca,Dasyprocta azarae,Dasypus ,Dasypus novemcinctus,Didelphis ,Didelphis albiventris,Didelphis aurita,Eira barbara,Equus ,Galictis cuja,Herpailurus yagouaroundi,Leopardus ,Leopardus guttulus,Leopardus pardalis,Leopardus wiedii,Lepus europaeus,Mazama ,Mazama gouazoubira,Mazama jucunda,Myrmecophaga tridactyla,Nasua nasua,Panthera onca,Pecari tajacu,Procyon cancrivorus,Puma concolor,Speothos venaticus,Sus scrofa,Tamandua tetradactyla,Tapirus terrestris,Tayassu pecari
125,2021,527,-47.637267,-24.029892,0,0,0,0,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,3,0,,
126,2021,536,-48.058185,-24.217955,0,0,0,3,1,0,0,0,10,2,0,0,0,0,3,0,0,0,0,0,0,1,0,2,1,0,0,0,0,1,0,,
127,2021,555,-48.906492,-25.646416,0,2,0,1,2,0,0,0,0,1,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,,
128,2021,583,-48.887892,-25.33406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,,
129,2021,590,-48.691095,-24.52821,0,0,0,0,0,1,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
130,2021,591,-48.637387,-25.210092,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,4,0,0,1,0,0,1,0,4,0,8,1,,
131,2021,601,-48.793217,-24.551883,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
132,2021,620,-48.87043,-25.38443,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,,
133,2021,621,-47.311513,-23.860987,0,0,0,0,0,10,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,
134,2021,632,-47.879643,-24.080593,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,4,0,0,0,4,1,,
135,2021,653,-48.605284,-25.721838,0,0,0,0,0,1,3,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
136,2021,661,-48.993196,-25.671045,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
137,2021,687,-48.4181,-24.996866,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,4,0,0,1,0,0,2,0,0,0,23,0,,
138,2021,693,-48.456002,-24.472795,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,,
139,2021,697,-47.964383,-24.17352,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,,
